类别,解释
150,ingest
666,希望度
888,悲观度
133,cause
132,insight
131,cogmech
130,sad
137,inhib
136,certain
135,tentat
134,discrep
252,space
253,time
139,excl
251,motion
250,relativ
138,incl
20,quant
21,number
22,swear
44,FutureM
45,ProgM
42,PastM
43,PresentM
41,TenseM
1,funct
3,ppron
2,pronoun
5,we
4,i
7,shehe
6,you
9,ipron
8,they
360,death
146,bio
147,body
777,问题解决期待度
142,hear
143,feel
140,percept
141,see
464,filler
999,犬儒度
148,health
149,sexual
121,social
122,family
123,friend
124,humans
125,affect
126,posemo
127,negemo
128,anx
129,anger
462,assent
463,nonfl
11,verb
12,auxverb
17,preps
16,adverb
19,negate
18,conj
31,youpl
36,MultiFun
35,Interjunction
34,QuanUnit
357,home
356,leisure
355,achieve
354,work
32,PrepEnd
358,money
33,SpecArt
359,relig
1000,[疑问]
